observation_key summary_vector date value error min_error max_error xpos ypos main_range perp_range anisotropy_angle zone_name
WGOR_A1_6 WGOR:A1 2019-08-16 181.50244140625 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_7 WGOR:A1 2019-11-08 202.2801971435547 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_8 WGOR:A1 2020-01-31 182.59190368652344 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_9 WGOR:A1 2020-04-24 147.66795349121094 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A2_0 WWCT:A2 2018-06-02 0.10108489543199539 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_1 WWCT:A2 2018-08-25 0.25315606594085693 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_2 WWCT:A2 2018-11-17 0.2776966989040375 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_3 WWCT:A2 2019-02-09 0.283459335565567 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_4 WWCT:A2 2019-05-04 0.0 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_5 WWCT:A2 2019-07-27 0.32546260952949524 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_6 WWCT:A2 2019-10-19 0.351017028093338 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_7 WWCT:A2 2020-01-11 0.37808743119239807 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_8 WWCT:A2 2020-04-04 0.4027750790119171 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A2_9 WWCT:A2 2020-06-27 0.43981707096099854 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_0 WGOR:A2 2018-06-02 153.72811889648438 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_1 WGOR:A2 2018-08-25 156.37786865234375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_2 WGOR:A2 2018-11-17 155.46145629882812 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_3 WGOR:A2 2019-02-09 152.78273010253906 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_4 WGOR:A2 2019-05-04 0.0 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_5 WGOR:A2 2019-07-27 156.41839599609375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_6 WGOR:A2 2019-10-19 157.92662048339844 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_7 WGOR:A2 2020-01-11 159.18914794921875 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_8 WGOR:A2 2020-04-04 159.24913024902344 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WGOR_A2_9 WGOR:A2 2020-06-27 160.32638549804688 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Therys
WWCT_A3_0 WWCT:A3 2018-10-05 0.00023010979930404574 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_1 WWCT:A3 2018-12-28 0.22004300355911255 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_2 WWCT:A3 2019-03-22 0.38389915227890015 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_3 WWCT:A3 2019-06-14 0.45054447650909424 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_4 WWCT:A3 2019-09-06 0.4891080856323242 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_5 WWCT:A3 2019-11-29 0.5082587003707886 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_6 WWCT:A3 2020-02-21 0.5267271399497986 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A3_7 WWCT:A3 2020-05-15 0.5443038940429688 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_0 WGOR:A3 2018-10-05 256.6658935546875 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_1 WGOR:A3 2018-12-28 141.71803283691406 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_2 WGOR:A3 2019-03-22 142.8449249267578 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_3 WGOR:A3 2019-06-14 161.7709197998047 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_4 WGOR:A3 2019-09-06 161.30799865722656 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_5 WGOR:A3 2019-11-29 156.68983459472656 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_6 WGOR:A3 2020-02-21 149.95159912109375 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WGOR_A3_7 WGOR:A3 2020-05-15 142.96775817871094 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Therys
WWCT_A4_0 WWCT:A4 2018-12-15 8.481842087348923e-6 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_1 WWCT:A4 2019-03-09 0.081839919090271 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_2 WWCT:A4 2019-06-01 0.2239859402179718 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_3 WWCT:A4 2019-08-24 0.3734499514102936 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_4 WWCT:A4 2019-11-16 0.4346226453781128 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_5 WWCT:A4 2020-02-08 0.49893033504486084 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A4_6 WWCT:A4 2020-05-02 0.0 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_0 WGOR:A4 2018-12-15 136.2583465576172 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_1 WGOR:A4 2019-03-09 133.3849639892578 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_2 WGOR:A4 2019-06-01 133.1396942138672 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_3 WGOR:A4 2019-08-24 135.09825134277344 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_4 WGOR:A4 2019-11-16 135.28724670410156 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_5 WGOR:A4 2020-02-08 134.9546356201172 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WGOR_A4_6 WGOR:A4 2020-05-02 0.0 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Therys
WWCT_A1_0 WWCT:A1 2018-03-30 2.990008169945213e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_1 WWCT:A1 2018-06-22 2.9680345505767036e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_2 WWCT:A1 2018-09-14 2.8782408207916887e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_3 WWCT:A1 2018-12-07 2.976913492602762e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_4 WWCT:A1 2019-03-01 0.000736650254111737 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_5 WWCT:A1 2019-05-24 0.035560693591833115 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_6 WWCT:A1 2019-08-16 0.06950899958610535 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_7 WWCT:A1 2019-11-08 0.20865759253501892 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_8 WWCT:A1 2020-01-31 0.3314569592475891 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A1_9 WWCT:A1 2020-04-24 0.4636625051498413 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_0 WGOR:A1 2018-03-30 138.32456970214844 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_1 WGOR:A1 2018-06-22 137.20663452148438 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_2 WGOR:A1 2018-09-14 137.1474609375 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_3 WGOR:A1 2018-12-07 134.7957305908203 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_4 WGOR:A1 2019-03-01 133.6744842529297 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_5 WGOR:A1 2019-05-24 150.79522705078125 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_6 WGOR:A1 2019-08-16 181.50244140625 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_7 WGOR:A1 2019-11-08 202.2801971435547 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_8 WGOR:A1 2020-01-31 182.59190368652344 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WGOR_A1_9 WGOR:A1 2020-04-24 147.66795349121094 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Volon
WWCT_A2_0 WWCT:A2 2018-06-02 0.10108489543199539 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_1 WWCT:A2 2018-08-25 0.25315606594085693 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_2 WWCT:A2 2018-11-17 0.2776966989040375 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_3 WWCT:A2 2019-02-09 0.283459335565567 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_4 WWCT:A2 2019-05-04 0.0 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_5 WWCT:A2 2019-07-27 0.32546260952949524 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_6 WWCT:A2 2019-10-19 0.351017028093338 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_7 WWCT:A2 2020-01-11 0.37808743119239807 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_8 WWCT:A2 2020-04-04 0.4027750790119171 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A2_9 WWCT:A2 2020-06-27 0.43981707096099854 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_0 WGOR:A2 2018-06-02 153.72811889648438 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_1 WGOR:A2 2018-08-25 156.37786865234375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_2 WGOR:A2 2018-11-17 155.46145629882812 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_3 WGOR:A2 2019-02-09 152.78273010253906 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_4 WGOR:A2 2019-05-04 0.0 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_5 WGOR:A2 2019-07-27 156.41839599609375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_6 WGOR:A2 2019-10-19 157.92662048339844 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_7 WGOR:A2 2020-01-11 159.18914794921875 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_8 WGOR:A2 2020-04-04 159.24913024902344 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WGOR_A2_9 WGOR:A2 2020-06-27 160.32638549804688 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Volon
WWCT_A3_0 WWCT:A3 2018-10-05 0.00023010979930404574 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_1 WWCT:A3 2018-12-28 0.22004300355911255 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_2 WWCT:A3 2019-03-22 0.38389915227890015 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_3 WWCT:A3 2019-06-14 0.45054447650909424 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_4 WWCT:A3 2019-09-06 0.4891080856323242 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_5 WWCT:A3 2019-11-29 0.5082587003707886 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_6 WWCT:A3 2020-02-21 0.5267271399497986 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A3_7 WWCT:A3 2020-05-15 0.5443038940429688 0.1 0.05 0.15000000000000002 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_0 WGOR:A3 2018-10-05 256.6658935546875 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_1 WGOR:A3 2018-12-28 141.71803283691406 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_2 WGOR:A3 2019-03-22 142.8449249267578 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_3 WGOR:A3 2019-06-14 161.7709197998047 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_4 WGOR:A3 2019-09-06 161.30799865722656 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_5 WGOR:A3 2019-11-29 156.68983459472656 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_6 WGOR:A3 2020-02-21 149.95159912109375 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WGOR_A3_7 WGOR:A3 2020-05-15 142.96775817871094 50.0 25.0 75.0 462753.44 5932869.64 1500.0 1500.0 45.0 Volon
WWCT_A4_0 WWCT:A4 2018-12-15 8.481842087348923e-6 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_1 WWCT:A4 2019-03-09 0.081839919090271 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_2 WWCT:A4 2019-06-01 0.2239859402179718 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_3 WWCT:A4 2019-08-24 0.3734499514102936 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_4 WWCT:A4 2019-11-16 0.4346226453781128 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_5 WWCT:A4 2020-02-08 0.49893033504486084 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A4_6 WWCT:A4 2020-05-02 0.0 0.1 0.05 0.15000000000000002 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_0 WGOR:A4 2018-12-15 136.2583465576172 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_1 WGOR:A4 2019-03-09 133.3849639892578 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_2 WGOR:A4 2019-06-01 133.1396942138672 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_3 WGOR:A4 2019-08-24 135.09825134277344 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_4 WGOR:A4 2019-11-16 135.28724670410156 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_5 WGOR:A4 2020-02-08 134.9546356201172 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WGOR_A4_6 WGOR:A4 2020-05-02 0.0 50.0 25.0 75.0 463256.911377 5930542.294434 1500.0 1500.0 45.0 Volon
WWCT_A1_0 WWCT:A1 2018-03-30 2.990008169945213e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_1 WWCT:A1 2018-06-22 2.9680345505767036e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_2 WWCT:A1 2018-09-14 2.8782408207916887e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_3 WWCT:A1 2018-12-07 2.976913492602762e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_4 WWCT:A1 2019-03-01 0.000736650254111737 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_5 WWCT:A1 2019-05-24 0.035560693591833115 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_6 WWCT:A1 2019-08-16 0.06950899958610535 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_7 WWCT:A1 2019-11-08 0.20865759253501892 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_8 WWCT:A1 2020-01-31 0.3314569592475891 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A1_9 WWCT:A1 2020-04-24 0.4636625051498413 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_0 WGOR:A1 2018-03-30 138.32456970214844 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_1 WGOR:A1 2018-06-22 137.20663452148438 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_2 WGOR:A1 2018-09-14 137.1474609375 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_3 WGOR:A1 2018-12-07 134.7957305908203 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_4 WGOR:A1 2019-03-01 133.6744842529297 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_5 WGOR:A1 2019-05-24 150.79522705078125 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_6 WGOR:A1 2019-08-16 181.50244140625 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_7 WGOR:A1 2019-11-08 202.2801971435547 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_8 WGOR:A1 2020-01-31 182.59190368652344 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WGOR_A1_9 WGOR:A1 2020-04-24 147.66795349121094 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Valysar
WWCT_A2_0 WWCT:A2 2018-06-02 0.10108489543199539 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_1 WWCT:A2 2018-08-25 0.25315606594085693 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_2 WWCT:A2 2018-11-17 0.2776966989040375 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_3 WWCT:A2 2019-02-09 0.283459335565567 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_4 WWCT:A2 2019-05-04 0.0 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_5 WWCT:A2 2019-07-27 0.32546260952949524 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_6 WWCT:A2 2019-10-19 0.351017028093338 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_7 WWCT:A2 2020-01-11 0.37808743119239807 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_8 WWCT:A2 2020-04-04 0.4027750790119171 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WWCT_A2_9 WWCT:A2 2020-06-27 0.43981707096099854 0.1 0.05 0.15000000000000002 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_0 WGOR:A2 2018-06-02 153.72811889648438 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_1 WGOR:A2 2018-08-25 156.37786865234375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_2 WGOR:A2 2018-11-17 155.46145629882812 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_3 WGOR:A2 2019-02-09 152.78273010253906 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_4 WGOR:A2 2019-05-04 0.0 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_5 WGOR:A2 2019-07-27 156.41839599609375 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_6 WGOR:A2 2019-10-19 157.92662048339844 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_7 WGOR:A2 2020-01-11 159.18914794921875 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
WGOR_A2_8 WGOR:A2 2020-04-04 159.24913024902344 50.0 25.0 75.0 460994.9 5933813.29 1500.0 1500.0 45.0 Valysar
