observation_key summary_vector date value error min_error max_error xpos ypos main_range perp_range anisotropy_angle zone_name
WWCT_A1_0 WWCT:A1 2018-03-30 2.990008169945213e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_1 WWCT:A1 2018-06-22 2.9680345505767036e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_2 WWCT:A1 2018-09-14 2.8782408207916887e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_3 WWCT:A1 2018-12-07 2.976913492602762e-6 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_4 WWCT:A1 2019-03-01 0.000736650254111737 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_5 WWCT:A1 2019-05-24 0.035560693591833115 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_6 WWCT:A1 2019-08-16 0.06950899958610535 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_7 WWCT:A1 2019-11-08 0.20865759253501892 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_8 WWCT:A1 2020-01-31 0.3314569592475891 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WWCT_A1_9 WWCT:A1 2020-04-24 0.4636625051498413 0.1 0.05 0.15000000000000002 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_0 WGOR:A1 2018-03-30 138.32456970214844 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_1 WGOR:A1 2018-06-22 137.20663452148438 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_2 WGOR:A1 2018-09-14 137.1474609375 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_3 WGOR:A1 2018-12-07 134.7957305908203 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_4 WGOR:A1 2019-03-01 133.6744842529297 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
WGOR_A1_5 WGOR:A1 2019-05-24 150.79522705078125 50.0 25.0 75.0 462588.52 5934080.96 1500.0 1500.0 45.0 Therys
